X,Y,DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
28.1707000000051,-24.8576999995553,Zwartkloof,Fluorite,Tin granite,-24.8576999995553,28.1707000000051,South Africa,
30.837100000065,12.7316000002399,Jebel Semeih (J. Sumayh),Fluorite,Deposit type unclassified,12.7316000002399,30.837100000065,Sudan,
10.20440000006,36.3415000004247,Hammam Zriba,Fluorite,Salt-Related Carbonate-Hosted F,36.3415000004247,10.20440000006,Tunisia,
118.90079999992,28.0249999998501,Badu,Fluorite,"Related to volcanics of ""normal evolution""",28.0249999998501,118.90079999992,China,
112.083299999695,33.7667000004047,Chenlou,Fluorite,Deposit type unclassified,33.7667000004047,112.083299999695,China,
112.983299999695,29.1832999998952,Donggangshan,Fluorite,"Related to volcanics of ""normal evolution""",29.1832999998952,112.983299999695,China,
119.7000000001,28.9167000002049,Houshu,Fluorite,"Related to volcanics of ""normal evolution""",28.9167000002049,119.7000000001,China,
114.566699999905,31.4000000002998,Huahe,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,31.4000000002998,114.566699999905,China,
109.473900000385,28.5852999997952,Huayuan district,Fluorite,Mississippi Valley-type F,28.5852999997952,109.473900000385,China,
118.933300000395,28.6666999998052,Hushan,Fluorite,"Related to volcanics of ""normal evolution""",28.6666999998052,118.933300000395,China,
113.8500000001,32.5333000003948,Jianshan,Fluorite,"Related to volcanics of ""normal evolution""",32.5333000003948,113.8500000001,China,
100.083300000295,27.3000000003997,Mahuaping,Fluorite,Tin-granite-related,27.3000000003997,100.083300000295,China,
112.867499999725,26.9500000001999,Shuangjiangkou,Fluorite,Deposit type unclassified,26.9500000001999,112.867499999725,China,
111.2700000004,43.1230999998651,Sumochagan Obo,Fluorite,"Related to volcanics of ""normal evolution""",43.1230999998651,111.2700000004,China,
113.45,29.3667000002049,Taolin,Fluorite,Tin granite,29.3667000002049,113.45,China,
119.889299999995,28.9892999999951,Yangjia-Wuyi,Fluorite,"Related to volcanics of ""normal evolution""",28.9892999999951,119.889299999995,China,
119.867500000125,30.5832999997952,Yinzishan,Fluorite,"Related to volcanics of ""normal evolution""",30.5832999997952,119.867500000125,China,
118.767499999625,30.5332999998951,Zhuancum,Fluorite,Deposit type unclassified,30.5332999998951,118.767499999625,China,
74.0627999999201,21.9969000002349,Amba Dongar,Fluorite,Carbonatite-Related F,21.9969000002349,74.0627999999201,India,
78.7299000003848,49.9818999998851,Karadzhal,Fluorite,"Skarns, greisens, veins, and replacements related to strongly differentiated granites",49.9818999998851,78.7299000003848,Kazakhstan,
109.33300000035,46.4999999998002,Adag,Fluorite,Alkaline-Volcanic-Related Epithermal F,46.4999999998002,109.33300000035,Mongolia,
111.169299999795,47.7732999997952,Berkh,Fluorite,Alkaline-Volcanic-Related Epithermal F,47.7732999997952,111.169299999795,Mongolia,
109.441700000255,46.2681000004147,Bor Ondor,Fluorite,Alkaline-Volcanic-Related Epithermal F,46.2681000004147,109.441700000255,Mongolia,
104.162900000135,44.3728999998352,Mushugai-Khudag,Fluorite,Carbonatite-Related F,44.3728999998352,104.162900000135,Mongolia,
110.738899999835,44.7058000001699,Urgun (Örgön),Fluorite,Alkaline-Volcanic-Related Epithermal F,44.7058000001699,110.738899999835,Mongolia,
110.041699999955,46.3670999999651,Zuum-Tsagaan-Del,Fluorite,Alkaline-Volcanic-Related Epithermal F,46.3670999999651,110.041699999955,Mongolia,
67.1484999999751,29.4379000001849,Kalat district,Fluorite,Mississippi Valley-type F,29.4379000001849,67.1484999999751,Pakistan,
113.116700000105,54.9000000001,Auninsky,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,54.9000000001,113.116700000105,Russia,
92.3972000001799,51.9097000001549,Chaakhol,Fluorite,Carbonatite-Related F,51.9097000001549,92.3972000001799,Russia,
116.52939999981,51.0107999996204,Kalangui,Fluorite,"Related to volcanics of ""normal evolution""",51.0107999996204,116.52939999981,Russia,
92.1324999999751,51.3050999996653,Karasug,Fluorite,Carbonatite-Related F,51.3050999996653,92.1324999999751,Russia,
105.616699999805,50.9167000003048,Naransky,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,50.9167000003048,105.616699999805,Russia,
132.183299999995,44.1667000003048,Pogranichny,Fluorite,Tin-granite-related,44.1667000003048,132.183299999995,Russia,
57.808900000035,53.8369999998501,Suran I & Suran II,Fluorite,Subalkaline-volcanic-related epithermal veins and replacements,53.8369999998501,57.808900000035,Russia,
109.560500000075,51.6736999996553,"Yermakovka (Yermakovsky, Ermakovsky)",Fluorite,Peralkaline to Alkaline-Intrusion-Related F,51.6736999996553,109.560500000075,Russia,
68.9387000004048,38.8371000002649,Takob,Fluorite,Deposit type unclassified,38.8371000002649,68.9387000004048,Tajikistan,
98.8188999997353,18.2126999999051,Ban Hong,Fluorite,Subalkaline-Volcanic-Related Epithermal F,18.2126999999051,98.8188999997353,Thailand,
98.7749999996503,17.8791999997802,Doi Tao district,Fluorite,Deposit type unclassified,17.8791999997802,98.7749999996503,Thailand,
99.4667000004047,13.3666999998052,Yang Hak district,Fluorite,Deposit type unclassified,13.3666999998052,99.4667000004047,Thailand,
31.3649999996503,39.6169999998502,Kizilcaören (a.k.a. Beylikahir),Fluorite,Carbonatite-Related F,39.6169999998502,31.3649999996503,Turkey,
70.5330999997652,41.2057999999701,Suppatash,Fluorite,Deposit type unclassified,41.2057999999701,70.5330999997652,Uzbekistan,
105.66700000005,21.6479000002848,Nui Phao,Fluorite,Tin-granite-related,21.6479000002848,105.66700000005,Vietnam,
146.068700000405,-41.48620000003,Moina,"Fluorite; Beryllium","Tin-granite-related; Non-pegmatite",-41.48620000003,146.068700000405,Australia,
127.983900000085,-16.4075000000249,Speewah,Fluorite,Carbonatite-Related F,-16.4075000000249,127.983900000085,Australia,
4.0779999999001,46.9740000003998,Argentolle,Fluorite,Salt-Related Carbonate-Hosted F,46.9740000003998,4.0779999999001,France,
2.31479999992013,42.5413999996103,Escaro,Fluorite,Salt-Related Carbonate-Hosted F,42.5413999996103,2.31479999992013,France,
2.37819999993008,43.8210999997652,Montroc,Fluorite,Salt-Related Carbonate-Hosted F,43.8210999997652,2.37819999993008,France,
3.49510000006501,45.0491999999801,Le Barlet,Fluorite,Salt-Related Carbonate-Hosted F,45.0491999999801,3.49510000006501,France,
2.40600000039973,43.8731000001649,Le Burc,Fluorite,Salt-Related Carbonate-Hosted F,43.8731000001649,2.40600000039973,France,
1.30809999961537,46.4210999999651,Rossignol,Fluorite,Salt-Related Carbonate-Hosted F,46.4210999999651,1.30809999961537,France,
18.5050000003498,47.2180000001999,Pakozd,Fluorite,Tin granite,47.2180000001999,18.5050000003498,Hungary,
9.47500000004999,39.4359999996004,Bruncu Molentinu,Fluorite,Deposit type unclassified,39.4359999996004,9.47500000004999,Italy,
9.25600000019989,39.51700000005,Muscadroxiu-GennaTres Montis-S'Acqua Frida (Silius mine),Fluorite,Salt-Related Carbonate-Hosted F,39.51700000005,9.25600000019989,Italy,
12.1440999996153,42.0670000003498,Pianciano-Castel Giuliano,Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,42.0670000003498,12.1440999996153,Italy,
11.746900000035,42.575500000125,Santo Maria di Sala,Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,42.575500000125,11.746900000035,Italy,
-5.62190000038464,43.427700000055,Asturias region,Fluorite,Salt-Related Carbonate-Hosted F,43.427700000055,-5.62190000038464,Spain,
2.59300000034978,41.9496999995554,Osor,Fluorite,Salt-Related Carbonate-Hosted F,41.9496999995554,2.59300000034978,Spain,
-2.54210000011489,36.9251000001649,Sierra Gador district,Fluorite,Deposit type unclassified,36.9251000001649,-2.54210000011489,Spain,
-2.17340000000996,54.7946000003898,Northern Pennine Orefield,Fluorite,Mississippi Valley-type F,54.7946000003898,-2.17340000000996,United Kingdom,
-1.69290000003491,53.2742999998452,Southern Pennine Orefield,Fluorite,Mississippi Valley-type F,53.2742999998452,-1.69290000003491,United Kingdom,
-78.1900000002997,45.0599999998002,Fission (Richardson) mine,Fluorite,Carbonatite-Related F,45.0599999998002,-78.1900000002997,Canada,
-55.40719999998,46.9159000001849,St. Lawrence district,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,46.9159000001849,-55.40719999998,Canada,
-102.54240000026,29.2581999996303,Aguachile,"Fluorite; Beryllium","Alkaline-Volcanic-Related Epithermal F; Carbonate-hosted Be",29.2581999996303,-102.54240000026,Mexico,
-100.177099999965,21.57020000003,El Refugio mine,Fluorite,"Related to volcanics of ""normal evolution""",21.57020000003,-100.177099999965,Mexico,
-102.49639999956,28.5423999999601,Encantada-Buenavista,Fluorite,Salt-Related Carbonate-Hosted F,28.5423999999601,-102.49639999956,Mexico,
-100.58159999984,21.9440999998152,Las Cuevas,Fluorite,"Related to volcanics of ""normal evolution""",21.9440999998152,-100.58159999984,Mexico,
-105.86220000023,26.8500000003997,Parral district,Fluorite,Deposit type unclassified,26.8500000003997,-105.86220000023,Mexico,
-99.5445999997901,18.5889999997502,"La Azul deposit, Taxco district",Fluorite,Deposit type unclassified,18.5889999997502,-99.5445999997901,Mexico,
-106.06640000016,38.6315999997403,Brown's Canyon district,Fluorite,Deposit type unclassified,38.6315999997403,-106.06640000016,United States of America,Colorado
-113.888099999615,46.0061999998302,Crystal Mountain,Fluorite,"Skarns, greisens, veins, and replacements related to strongly differentiated granites",46.0061999998302,-113.888099999615,United States of America,Montana
-116.681100000365,36.8895999998402,Daisy mine,Fluorite,Alkaline-Volcanic-Related Epithermal F,36.8895999998402,-116.681100000365,United States of America,Nevada
-108.676300000045,32.725500000025,Great Eagle,Fluorite,Alkaline-Volcanic-Related Epithermal F,32.725500000025,-108.676300000045,United States of America,New Mexico
-88.3539999997002,37.5209999996503,Hicks Dome,"Fluorite; Beryllium","Carbonatite-Related F; Pegmatite",37.5209999996503,-88.3539999997002,United States of America,Illinois
-108.82140000041,33.3170999999651,Huckleberry mine,Fluorite,Alkaline-Volcanic-Related Epithermal F,33.3170999999651,-108.82140000041,United States of America,New Mexico
-88.2349999996502,37.2989999999501,Illinois-Kentucky fluorspar district,"Fluorite; Gallium",Mississippi Valley-type,37.2989999999501,-88.2349999996502,United States of America,Kentucky
-113.833299999595,38.2166999996053,Indian Peak district,Fluorite,Alkaline-Volcanic-Related Epithermal F,38.2166999996053,-113.833299999595,United States of America,At Cougar Spar Mine
-105.398700000005,40.1279999998002,Jamestown district,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,40.1279999998002,-105.398700000005,United States of America,"At Burlington Mine, Colorado"
-167.15499999985,65.4756000003398,Lost River,"Fluorite; Beryllium; Tin",Skarn and Greisen-Hosted Be-F,65.4756000003398,-167.15499999985,United States of America,Alaska
-114.50360000004,44.8540999997153,Meyers Cove,Fluorite,Subalkaline-volcanic-related epithermal veins and replacements,44.8540999997153,-114.50360000004,United States of America,"At Big Lead Mine, Idaho"
-106.27439999996,40.9244000003598,Northgate district,Fluorite,"Alkaline-volcanic-related epithermal veins, breccia-fills, and carbonate replacements",40.9244000003598,-106.27439999996,United States of America,"At Pender Mine, Colorado"
-117.719899999785,42.8080000001999,Rome occurrence,Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,42.8080000001999,-117.719899999785,United States of America,Oregon
-84.4611000003647,35.6013999998102,Sweetwater district,"Fluorite; Barite","Mississippi Valley-type F; Residual",35.6013999998102,-84.4611000003647,United States of America,Tennessee
-107.754099999715,32.6123000003448,White Eagle,Fluorite,Alkaline-Volcanic-Related Epithermal F,32.6123000003448,-107.754099999715,United States of America,New Mexico
-64.794499999875,-32.5019000000849,Cerros Negros,Fluorite,"Volcanics of ""normal"" evolution",-32.5019000000849,-64.794499999875,Argentina,
-49.1810000002498,-24.7471000001648,Mato Preto,Fluorite,Carbonatite-Related F,-24.7471000001648,-49.1810000002498,Brazil,
-49.2594999996252,-26.6222000001299,Santa Catarina district,Fluorite,"Alkaline-intrusion-related veins, skarns, and carbonate replacements",-26.6222000001299,-49.2594999996252,Brazil,At Shaft 3 on the Segunda Linha Torrens vein
-8.53000000029971,54.2200000001999,Abbeytown,Gallium,Ga in Mississippi Valley-type,54.2200000001999,-8.53000000029971,Ireland,
-47.505180555738,-4.92455555589413,Açailândia,Gallium,Ga in Bauxite,-4.92455555589413,-47.505180555738,Brazil,
13.4371388891485,7.41299166623247,Adamaoua,Gallium,Ga in Bauxite,7.41299166623247,13.4371388891485,Cameroon,
122.2799999998,-19.2269444441308,Admiral Bay,Gallium,Ga in Mississippi Valley-type,-19.2269444441308,122.2799999998,Australia,
-122.083332999918,40.733332999918,Afterthought,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.733332999918,-122.083332999918,United States of America,California
61.6987388887887,57.8441833329945,Alapaevsk,Gallium,Ga in Bauxite,57.8441833329945,61.6987388887887,Russia,
115.832881999904,-32.0370450003265,Alcoa,Gallium,Ga in Bauxite,-32.0370450003265,115.832881999904,Australia,
-52.3774611112412,-0.898852777933314,Almeirim,Gallium,Ga in Bauxite,-0.898852777933314,-52.3774611112412,Brazil,
-52.0220111115235,1.43911111108895,Amapá,Gallium,Ga in Bauxite,1.43911111108895,-52.0220111115235,Brazil,
81.7392944446829,22.7065277773351,Amarkantak,Gallium,Ga in Bauxite,22.7065277773351,81.7392944446829,India,
-71.6308329998431,44.2686110000976,Ammonoosuc,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.2686110000976,-71.6308329998431,United States of America,New Hampshire
82.8631490002263,18.3446239996979,Anantagiri Hills,Gallium,Ga in Bauxite,18.3446239996979,82.8631490002263,India,
141.836908333253,-12.5338777781369,Andoom,Gallium,Ga in Bauxite,-12.5338777781369,141.836908333253,Australia,
103.976502777981,52.4600555559192,Angarsky,Gallium,Ga in Bauxite,52.4600555559192,103.976502777981,Russia,
-148.9599999997,63.8197219996706,Antler,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",63.8197219996706,-148.9599999997,United States of America,Alaska
-113.803611000147,37.0694439998408,Apex Mine,"Gallium; Germanium; Indium",Ga and Ge in Kipushi Cu-Zn,37.0694439998408,-113.803611000147,United States of America,Utah
73.0183861112301,49.8417666664985,Aqtas,Gallium,Ga in Bauxite,49.8417666664985,73.0183861112301,Kazakhstan,
-156.386943999866,67.1738889998775,Arctic,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",67.1738889998775,-156.386943999866,United States of America,Alaska
-1.48999999980009,43.1699999998002,Arditurri,Gallium,Ga in Clastic-dominated Pb-Zn,43.1699999998002,-1.48999999980009,Spain,
66.9193499997028,50.2021194444569,Arqalyk,Gallium,Ga in Bauxite,50.2021194444569,66.9193499997028,Kazakhstan,
-85.9555559998095,33.2722219997456,Ashland,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",33.2722219997456,-85.9555559998095,United States of America,Alabama
71.5132722219356,51.2085805551486,Astana,Gallium,Ga in Bauxite,51.2085805551486,71.5132722219356,Kazakhstan,
12.4435899997787,46.5509700003653,Auronzo,Gallium,Ga in Mississippi Valley-type,46.5509700003653,12.4435899997787,Italy,
-80.9202777777972,36.8469444447304,Austinville,Gallium,Ga in Mississippi Valley-type,36.8469444447304,-80.9202777777972,United States of America,Virginia
-2.28740277771595,6.24754444452054,Awaso,Gallium,Ga in Bauxite,6.24754444452054,-2.28740277771595,Ghana,
106.833333000018,33.9499999997003,Bafangshan,Gallium,Ga in Clastic-dominated Pb-Zn,33.9499999997003,106.833333000018,China,
104.2399999997,23.5999999997003,Bainiuchang,"Gallium; Indium; Germanium","Ga, Ge, and In in Clastic-dominated Sedimentary exhalative Pb-Zn",23.5999999997003,104.2399999997,China,
-56.7500972219092,4.34811944425701,Bakhuis Mountains,Gallium,Ga in Bauxite,4.34811944425701,-56.7500972219092,Suriname,Guyana
-122.498055999984,40.7252779998798,Balaklala,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.7252779998798,-122.498055999984,United States of America,California
-120.839359999764,39.5090500003573,Bald Mountain,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",39.5090500003573,-120.839359999764,United States of America,California
