X,Y,OBJECTID,NAME,DIAK_CDE,CONTENTS,FIPS_CNTRY,SIZE_
11574880.7684701,-1952439.54431592,834,Blina, ,oil,AS,Medium
12118257.3036543,-2594536.55912701,835,Mereenie, ,"gas,oil",AS,Medium
12224988.0673931,-2592926.5492764,836,Palm Valley, ,gas,AS,Medium
12885428.4741246,-2936492.70841931,837,Tirrawarra, ,"gas,oil",AS,Medium
12938527.3425078,-2982677.21059613,838,Della, ,gas,AS,Medium
13031134.7465352,-2990415.26626936,839,Jackson, ,oil,AS,Medium
12828500.9297895,-2998511.31814006,840,"Gidgealpa,Moomba", ,gas,AS,Large
12824742.7238907,-3058604.86631114,841,Strzelecki, ,"gas,oil",AS,Medium
12977899.4108816,-4085866.17153513,842,Snapper, ,"oil,gas",AS,Large
13022870.8009326,-4096778.61549861,843,Marlin, ,gas,AS,Large
12893924.4731569,-4139165.99632547,844,Barracouta, ,"oil,gas",AS,Large
12974094.1938864,-4152795.44244273,845,Halibut, ,oil,AS,Large
12916384.8804321,-4161492.14656399,846,"Kingfish,West Kingfish", ,oil,AS,Large
13686549.9660649,-2977810.99057403,847,Moonie, ,oil,AS,Small
15203928.858642,-4200228.08345125,848,Kapuni, ,gas,NZ,Medium
15088038.6699632,-4240581.97504967,849,Maui, ,gas,NZ,Large
3092442.72924458,3966497.89506397,850,Bulgurdag,0928,oil,TU,Small
3464577.13632163,4039865.36352815,851,Beykan, ,oil,TU,Small
3563049.11376927,4126073.63363627,852,Selmo, ,oil,TU,Medium
3625781.61261075,3859687.66188233,853,Jebisseh, ,oil,SY,Large
3556366.39522671,3744829.50998631,854,Tayyim(Thayyem), ,oil,SY,Large
3605652.01517519,3737833.39773483,855,Omar(Shahel), ,oil,SY,Large
3618941.50090204,3664284.94245775,856,El Ward, ,oil,SY,Large
3896395.76032079,3766164.82232308,857,Bai Hassan, ,"gas,oil",IZ,Large
3995485.71402597,3538233.66528979,858,Eastern Baghdad, ,oil,IZ,Very large
3123743.04772569,3352799.28848238,859,"Kochav,Heletz-Brur", ,oil,IS,Small
3191561.18357198,3316071.68489751,860,Zohar, ,gas,IS,Small
4755893.85852583,4004059.53533561,861,Chikishlyar, ,gas,TX,Medium
4818877.39602225,3909029.84074639,862,Gorgan,0502,gas,IR,Medium
4707137.20909462,5105631.00226264,863,Karatyube, ,oil,KZ,Small
4759873.69036351,5142920.8780844,864,Zhanazhol, ,"oil,gas",KZ,Large
4903255.84941242,4682462.67435415,865,Kuanysh, ,gas,UZ,Small
4834201.73904734,4541607.20929717,866,Shakhpakhtinskoye, ,gas,UZ,Medium
4415171.0705876,3326291.41253458,867,Marun,0470,"gas,oil",IR,Very large
4464231.00478637,3296569.94384211,868,Agha Jari, ,"gas,oil",IR,Very large
4532748.60196928,3258504.6665574,869,Pazanan,02020602,"oil,gas",IR,Very large
4562474.79210996,3215903.20082799,870,Bibi Hakimeh, ,"gas,oil",IR,Very large
4599510.02012601,3215733.4343246,871,Gachsaran,06020802,"gas,oil",IR,Very large
4398835.8238861,3295393.79444185,872,Ahwaz, ,"gas,oil",IR,Very large
4298079.04171849,3292914.05220034,873,Majnoon, ,oil,IZ,Very large
5027432.19806908,7236859.38314753,874,Geofizicheskoye, ,gas,RS,Large
5037008.48582299,7072400.14860568,875,Novoportovskoye, ,gas,RS,Large
5223884.49398962,7159511.78731583,876,Semakovskoye, ,gas,RS,Large
5284094.84216761,7103820.39619266,877,Yamburgskoye, ,gas,RS,Very large
5408698.54502009,7090016.6284259,878,Nakhodkinskoye, ,gas,RS,Large
5357638.25341033,7033631.4023999,879,Severo-Urengoyskoye, ,"oil,gas",RS,Very large
5528043.10679957,7007538.85490029,880,Tazovskoye, ,"oil,gas",RS,Large
5596989.63282726,6975146.06172843,881,Zapolyarnoye, ,"oil,gas",RS,Very large
5676343.86338945,6938110.69401831,882,Russkoye, ,"oil,gas",RS,Large
5449702.15128005,6930169.5242892,883,Urengoyskoye, ,"oil,gas",RS,Very large
5258390.40395147,6970558.52138355,884,Pestsovoye, ,"oil,gas",RS,Large
5209697.83299395,6917101.59903162,885,Medvezh'e, ,"oil,gas",RS,Very large
